source_id,ra,dec,pmra,pmdec,parallax,radial_velocity,ref_epoch,phot_g_mean_mag,bp_rp,ruwe,duplicated_source
31658826709760896,42.19082228381045,13.035742332681503,11.77529565625175,-6.7060209589901465,2.8924562519273085,15.228919,2016.0,8.456452,1.2882962,0.9712051,False
31652195280260608,42.09402471938489,12.950300494584404,3.058667776430997,-7.943733597312183,2.733014393352185,37.42451,2016.0,9.272285,1.3855028,2.668866,False
31644601778122368,42.320638166976444,12.932187436545597,-18.92116575886678,-41.4779504749866,4.754379914940494,4.4628544,2016.0,10.200869,0.82423687,1.1118106,False
31856360845896320,41.89026384488313,13.242397752147411,-1.7765206712744943,0.9432082957873043,3.75134179744872,13.66099,2016.0,11.221806,0.80432224,4.0035763,False
31636973916168576,42.1374932948761,12.830397107636962,-6.204364515104441,-4.356863290916475,3.673026782831069,4.961967,2016.0,11.247248,0.76123714,1.1673653,False
31862236360961408,41.80856477526468,13.230822040616514,3.0977525941080564,-8.764431964124183,3.776670190873662,-0.93386567,2016.0,11.290804,0.8252373,0.8685902,False
31843506007844992,41.839000595658796,13.027035582481476,11.062385061998752,-29.134064636873106,2.6817547150326733,-49.42109,2016.0,11.454499,0.95691586,0.9617614,False
31648377053725056,42.01732909991401,12.810111601348178,-4.442198591657608,-3.5742094474136064,1.1644818007417224,-5.725229,2016.0,11.699653,1.166789,0.90041506,False
31641024069713664,42.29084915352479,12.875709991232483,79.97498637803372,-4.306283431341781,5.78738509761404,30.77209,2016.0,11.7055645,0.96708584,1.1326785,False
31858147552085760,42.029108303293846,13.32687338172988,9.611430182196496,-1.501177558403406,0.8132110842190476,43.997482,2016.0,11.934403,1.3668795,1.3948902,False
31645559555177344,42.23774105380994,12.968956324642953,0.11921651731944538,-5.510269097393,0.599459899241782,-1.1980883,2016.0,11.9662285,1.3524723,1.0955458,False
31948028332173312,42.222215824022385,13.298025721919313,9.815795847880363,-1.4755368860387403,1.1376226381198942,38.38391,2016.0,12.0004835,0.8060503,1.2591106,False
31656417232501248,41.94418017445087,13.024071806649994,9.228361659810492,0.4963584330156471,2.999169980651563,27.357029,2016.0,12.013223,0.852828,1.1262652,False
31760321081296384,42.25339348581074,13.297673438569898,-2.7130894172440168,-10.343280912631906,4.884530137543688,-29.486624,2016.0,12.151181,0.96076775,1.066433,False
31655833116949120,42.01720145518155,13.016038587744053,22.183545687022253,-40.72002296377506,3.864848217234389,-17.861483,2016.0,12.264008,0.978528,1.0302474,False
31663873295726592,42.20837620087637,13.121038577624041,-6.107621092570715,-12.908380500846826,1.7453025256671093,-21.514778,2016.0,12.449356,0.87085533,1.1987495,False
31843059331246720,41.790736534861416,13.00581940570478,6.123645787646215,-1.3026269759112825,1.1449042782418806,25.186642,2016.0,12.720014,1.2004318,1.0988425,False
