source_id,ra,dec,pmra,pmdec,ref_epoch,phot_g_mean_mag,bp_rp,ruwe,duplicated_source
31644601778122368,42.320638166976444,12.932187436545597,-18.92116575886678,-41.4779504749866,2016.0,10.200869,0.82423687,1.1118106,False
31644876655985536,42.2934983870468,12.950031428472297,2.336457636371192,-1.9683316022651978,2016.0,16.529047,1.1634188,0.9448281,False
31652916834771584,41.95614043973657,12.895943088160388,11.00973545573392,-6.723651628308772,2016.0,16.423687,1.4190083,1.031808,False
31657040003366784,42.029674500040265,13.078610177075076,-0.012570580168593831,2.190244166890219,2016.0,13.461858,0.7912283,0.98867077,False
31659990645849472,42.32738394044572,13.083660546926497,0.11596044631171559,-3.6920207899808135,2016.0,16.339272,0.8739157,1.0049741,False
31661403690134912,42.2729731077472,13.1418065519425,1.7823053066666974,-5.00739100235509,2016.0,14.9366045,1.1824102,1.0415206,False
31664324267896320,42.24790473118531,13.14970835712246,13.758206939205433,-4.485335952087588,2016.0,14.458935,0.97415066,1.0580872,False
31755549372595584,42.3546949068725,13.181645772737308,4.153227739373146,-4.882635807775059,2016.0,15.307793,0.80795956,1.1973461,False
31842857468530304,41.89328411965779,13.033180035524477,14.312526341262148,-3.7808933515618595,2016.0,15.763995,1.3079615,1.0578232,False
31843059331246720,41.790736534861416,13.00581940570478,6.123645787646215,-1.3026269759112825,2016.0,12.720014,1.2004318,1.0988425,False
31843682102250368,41.87543308450779,13.059875615680173,3.526160218551663,-1.2210367001276832,2016.0,14.12605,1.1923275,1.1218635,False
31851069446023936,42.01949471618046,13.141340321201575,4.9776157718984955,1.5521744862775866,2016.0,15.585525,1.2035885,0.96983576,False
31853131030337536,42.0728963620333,13.20379611085447,4.3675121174323275,-4.4972866051214355,2016.0,17.136478,1.995964,1.0544674,False
31856876241770368,41.95128535706935,13.285737937397606,0.7145554229100275,-11.824699373759557,2016.0,15.173436,1.0122175,0.9887766,False
31857735235227392,42.00179271464951,13.30738497448888,2.400706897403246,-11.165592107288848,2016.0,15.0135765,1.0217361,0.92840624,False
31948925980956032,42.1456011842572,13.332092513478019,1.8650022603700587,-2.227587597096944,2016.0,16.266747,0.90966797,1.0566176,False
31646659067360640,42.36081533068103,13.015149731029059,5.6779617638772955,-6.411260434735916,2016.0,17.218784,1.3220024,1.1454544,False
31649412141456384,42.06326917639593,12.893654802487319,23.339034236538538,-5.743329008913683,2016.0,15.755587,1.1893215,1.05163,False
31652568942022400,42.07873707026767,12.98998434357917,-5.041474398130873,3.3906124406830935,2016.0,17.355118,1.5548534,0.93285257,False
31654600461947904,41.93963954053261,12.984992385153005,0.052088356576625194,-3.2001603017442757,2016.0,16.24667,1.0622053,1.0261618,False
31656314153508864,41.948786967586024,13.014707353685587,12.300938273964846,-4.28701447446314,2016.0,17.439514,2.018938,1.0607734,False
31658826709760896,42.19082228381045,13.035742332681503,11.77529565625175,-6.7060209589901465,2016.0,8.456452,1.2882962,0.9712051,False
31660029300601472,42.336369304643235,13.080749203601346,-2.882278529863786,-4.061888731557787,2016.0,13.559586,0.8447933,0.96962905,False
31663735857006336,42.186252058708185,13.102797467935654,-3.9626673684920797,-2.4824096987760234,2016.0,17.09653,1.1321812,1.0146948,False
31851791000529536,41.979137925324714,13.159650842575424,3.606348763268725,-5.450960893757142,2016.0,17.445774,1.7920036,1.0073656,False
31630372551022336,41.873109395729045,12.908202561409297,2.1219557142289958,-2.6303755181357213,2016.0,17.48865,0.82287407,1.0757153,False
31637283153813760,42.09040989761154,12.848990015747752,0.9764913497485208,-2.525067940232112,2016.0,17.076815,2.4719095,1.081394,False
31638996845343872,42.18593435725681,12.870014469583083,-0.05123025922037651,-1.263180693390433,2016.0,17.29492,0.93784523,1.0460898,False
31639379097849600,42.165592529613185,12.918857457804762,3.1697667816290918,-10.75316221532771,2016.0,15.773991,1.6098137,1.0476545,False
31644734921668864,42.34882381126808,12.95041004931088,-7.611000357366044,-9.398999980966119,2016.0,17.085615,2.008133,0.9419057,False
31649549580413184,41.97480287979561,12.856361505092748,42.436755913368756,-8.45168192361631,2016.0,14.367914,1.0148268,1.0348794,False
31652745036081024,41.927201964530106,12.878441886879461,1.7405532083132822,1.3790146298634562,2016.0,13.901148,0.8634882,1.057303,False
31654531742471936,41.9546292936249,12.96904379816429,-9.598266151488513,-4.280336479538462,2016.0,13.696034,0.99425983,1.0131296,False
31656662046246656,42.00278565224872,13.033295867899529,17.739134196609157,-16.075980137536266,2016.0,15.029251,1.109868,1.0046811,False
31664869728376192,42.147852500986275,13.149372788029625,7.271898078983682,-9.237598158967868,2016.0,16.460003,0.94053745,1.0702537,False
31665011462663936,42.17614985645312,13.167031621309688,8.366762564158691,-4.628200413267408,2016.0,16.020817,1.0537043,0.9165315,False
31842960547748224,41.797246050563565,12.992272498653927,10.374493985707595,-5.5782910887616595,2016.0,16.150574,0.9565458,1.0356522,False
31844296281903232,41.946954578596994,13.067916217938393,2.5603383360188214,-1.617169085837653,2016.0,16.70645,0.9229717,0.9828954,False
31845812406024192,41.92562696087484,13.126457798239704,4.860625012780373,-3.746472219287219,2016.0,15.917377,1.0304842,1.0313658,False
31846980637133184,41.81537795085898,13.095402965030095,2.6436671828893648,-3.370783773874885,2016.0,15.545302,0.9310045,0.9139535,False
31850652833513984,42.01410033399661,13.110533992117924,10.288186567666958,7.042916899912924,2016.0,16.772741,2.0387707,0.9698738,False
31856463924913920,41.861646868395944,13.248177143650556,3.301507890700457,-5.626667422964195,2016.0,14.507982,0.9820328,1.1865028,False
31858662948163712,41.95719958105878,13.321395426913107,7.585961262299977,-59.416514178774534,2016.0,15.479481,1.3784227,1.1416925,False
31947581655654656,42.22603099741411,13.290240327951752,-6.492803869616036,-9.8073051667683,2016.0,15.976939,1.2347345,1.0521566,False
31948960340693632,42.15300519452054,13.345410102028156,2.3820401659540025,-7.255021694570144,2016.0,14.696329,0.87018776,0.99837434,False
31636080562973184,42.1175104738636,12.792705737376798,19.03320290554737,-14.126108866035489,2016.0,13.946367,1.4222841,1.237286,False
31638760622562432,42.127991965406395,12.866861089732705,6.033125291072389,-10.216618899111214,2016.0,14.300706,0.87944126,0.9751713,False
31639138579681664,42.204146165091196,12.893441180041291,16.573530646377062,7.9020043978636885,2016.0,17.393341,1.3950386,1.1460117,False
31644013367148160,42.26610284794043,12.880808391139116,-0.22496753419423218,-2.883342504748019,2016.0,17.115278,1.0412369,0.9551155,False
31649274702503680,42.03309208946379,12.878364136262,-0.039543860692489496,-1.793182970205878,2016.0,15.787268,1.7062149,1.0082006,False
31654669181425920,41.89895767504281,12.975600442955612,14.429206544792832,-3.779258091916608,2016.0,15.516137,1.2161531,1.0144134,False
31661334970658688,42.23916376768581,13.139728463196457,1.305821009177785,-1.568298548759918,2016.0,16.394552,0.9848814,0.96877736,False
31664835368637312,42.14186074622326,13.14343366906988,44.12104147362521,-6.2368446335391,2016.0,17.480177,2.6543446,1.063811,False
31759809980875776,42.240247359190775,13.25601793030229,4.19504217757712,1.8044535028119983,2016.0,15.693399,0.9862747,1.029499,False
31843132346439296,41.8213622006798,13.024444465952255,0.3755638879893073,-17.616724545216712,2016.0,16.52064,1.0062609,0.94910616,False
31844506735996416,41.93073168126939,13.075123320366794,-0.358044346681192,-3.802145350074214,2016.0,17.339031,0.92474747,1.0871692,False
31849007861879168,41.880404724880485,13.141906693564872,2.8918692719167964,6.34977169971046,2016.0,17.108368,1.8398514,1.0408473,False
31948788542003072,42.1149255328468,13.311785260315412,-8.701847065285545,-4.962362690872176,2016.0,12.757691,0.78740215,1.0520053,False
31637283153813376,42.08991811565149,12.851745586320554,0.933344265394807,-1.9369983904179748,2016.0,16.99513,2.052332,0.92719954,False
31647518060484608,42.29662247521625,13.004690593528268,-2.2521284876898258,-2.1852030764277757,2016.0,17.441544,1.892561,1.1380819,False
31655833116949120,42.01720145518155,13.016038587744053,22.183545687022253,-40.72002296377506,2016.0,12.264008,0.978528,1.0302474,False
31659406529966464,42.267860063930875,13.042695870584208,30.215382142740623,-5.209660365879716,2016.0,17.305101,1.3644867,0.93903345,False
31663770216745856,42.20201321011359,13.112353270482306,0.840187297071899,-8.702192098951834,2016.0,16.686693,0.9905338,0.97129554,False
31755205775935872,42.33510208391054,13.17332835227809,-2.6368240158798035,-4.605209157408298,2016.0,14.793028,0.86024857,0.9412678,False
31842582590648064,41.91487108486902,13.025324333722894,8.545476565825984,7.465439220343476,2016.0,16.102888,1.3206902,1.0287391,False
31848767343526528,41.82547336190359,13.13220270466352,4.95673983652561,-10.005592239497204,2016.0,14.691996,1.0515909,1.072285,False
31851516122786688,42.03947038508088,13.171498438774668,9.81123259858083,-5.470458427158214,2016.0,16.914068,1.4428215,0.99594826,False
31851825360237184,41.94821620923179,13.153653317606219,2.3513827183141682,-8.784608410333975,2016.0,17.326721,1.211998,1.1826508,False
31852199021769600,41.97905262775238,13.188854717648393,10.85182373374637,-8.997540086830833,2016.0,16.061451,1.2950068,1.0326349,False
31852684353692160,41.98734149213616,13.225163276180245,3.801529245838318,-2.679993604638521,2016.0,15.947895,0.97278786,1.0625403,False
31636973916168576,42.1374932948761,12.830397107636962,-6.204364515104441,-4.356863290916475,2016.0,11.247248,0.76123714,1.1673653,False
31639516536802560,42.191869998043884,12.927005409495731,6.3738455125829585,-9.534485506873757,2016.0,16.04896,1.4842167,0.9168959,False
31641024069713664,42.29084915352479,12.875709991232483,79.97498637803372,-4.306283431341781,2016.0,11.7055645,0.96708584,1.1326785,False
31647655499730560,42.321427899998405,13.029593290882655,38.32516404645543,-28.987759596804096,2016.0,13.582378,1.7934322,0.97797257,False
31649858818057600,41.96217854940029,12.874975299652222,14.53775127424755,-2.2322755637751817,2016.0,16.486435,1.7050133,1.0026709,False
31655837412526208,42.015260630553065,13.018003728943333,-2.4667109080170566,-7.879178262416444,2016.0,16.408815,1.1990414,0.9501022,False
31657486679967232,42.150503775806406,12.983839643920419,-6.124628065287282,0.72841367655579,2016.0,15.192584,1.198204,0.9541857,False
31657486679967744,42.15611934390575,12.972933806262306,1.336885263501042,-2.629167421279846,2016.0,17.228937,1.1776581,1.0860472,False
31660402962711424,42.31976348890736,13.12392694255481,6.637163967295328,-7.259820383446081,2016.0,17.289873,1.6633301,1.034672,False
31742149075420160,42.3787222680726,13.097343748684002,0.07509193360669375,-11.396315610484665,2016.0,17.09848,1.8123302,1.0427157,False
31758504310818944,42.28704248466927,13.202681382308965,4.327933326764423,-7.642746328734739,2016.0,16.385824,,0.9604795,False
31844678534688000,41.957622481502135,13.080544721116619,10.396896901068493,-20.49701609464604,2016.0,14.978952,1.7483873,1.011951,False
31849518962183424,41.881829476848544,13.206519815608102,4.329342368935317,5.177955227495254,2016.0,14.405361,0.90457916,0.9865229,False
31854574139335552,42.08369504798077,13.266990033354256,1.0756331627400582,-6.387052093072539,2016.0,16.477093,1.310667,0.88099277,False
31856463925104000,41.86901432370874,13.241838231796674,13.194471297909477,-16.09728499972948,2016.0,16.054771,1.0546255,1.0885133,False
31857597796275712,41.97260177895852,13.287071414543126,-5.418420246520352,-1.6435740727041805,2016.0,15.043432,1.0464754,1.1407769,False
31636389800619392,42.08612353305306,12.780376646868527,-11.577817975510222,5.028064014994155,2016.0,15.804321,1.1315975,1.0592756,False
31648381349309568,42.019684859447835,12.81381044870725,7.136491637797966,-24.348029004652908,2016.0,16.196692,1.792531,0.84600174,False
31655459455405056,42.010007088196424,13.001370456205626,24.201554850052585,4.1362711675269805,2016.0,15.48618,1.8020983,1.0403941,False
31658654911070464,42.13865494186708,13.024776387308812,18.866200961206307,-6.874237072138948,2016.0,15.667829,1.0526552,1.3973829,False
31660334243234304,42.33658575428969,13.113264959080656,-3.4209461773241197,-6.09739616982916,2016.0,16.30043,0.9809818,0.9705255,False
31665316404976512,42.13290200479159,13.187069180908363,1.3731480568453036,-0.8950844023758264,2016.0,16.71146,0.98480415,1.0661432,False
31759736966264064,42.18858288465302,13.247459137640439,-0.5015414609243465,-1.588801913960134,2016.0,17.207354,1.0807056,1.0441514,False
31844266217827968,41.93497583112586,13.057997801300925,1.3893133289920674,-7.9282392071364685,2016.0,13.978831,1.0348024,1.1356499,False
31845022132071552,41.96874691365357,13.102031920951818,-5.983103299858925,-3.165673284508604,2016.0,15.308103,0.87947464,1.0462589,False
31851275604453760,42.04526317178663,13.143341179206812,7.640367338709487,-3.151207621894029,2016.0,15.043829,1.5135622,1.1727449,False
31629410478337792,41.86493944802334,12.863065750666411,2.7382495688699953,-1.6098470386205577,2016.0,16.438705,0.93105316,0.96868116,False
31644120741786112,42.30838071146207,12.911091836477915,36.33195913552507,-37.40132547271739,2016.0,16.612873,2.7506723,1.1729739,False
